"region_id","rgn_name","rgn_title"
0,"GLOBAL","Baltic"
12,"Den - Arkona Basin","Den - Arkona Basin"
9,"Den - Bay of Mecklenburg","Den - Bay of Mecklenburg"
15,"Den - Bornholm Basin","Den - Bornholm Basin"
3,"Den - Great Belt","Den - Great Belt"
2,"Den - Kattegat","Den - Kattegat"
7,"Den - Kiel Bay","Den - Kiel Bay"
6,"Den - The Sound","Den - The Sound"
25,"Est - Eastern Gotland Basin","Est - Eastern Gotland Basin"
34,"Est - Gulf of Finland","Est - Gulf of Finland"
28,"Est - Gulf of Riga","Est - Gulf of Riga"
31,"Est - Northern Baltic Proper","Est - Northern Baltic Proper"
36,"Fin - Aland Sea","Fin - Aland Sea"
42,"Fin - Bothnian Bay","Fin - Bothnian Bay"
38,"Fin - Bothnian Sea","Fin - Bothnian Sea"
32,"Fin - Gulf of Finland","Fin - Gulf of Finland"
30,"Fin - Northern Baltic Proper","Fin - Northern Baltic Proper"
40,"Fin - The Quark","Fin - The Quark"
13,"Ger - Arkona Basin","Ger - Arkona Basin"
10,"Ger - Bay of Mecklenburg","Ger - Bay of Mecklenburg"
16,"Ger - Bornholm Basin","Ger - Bornholm Basin"
4,"Ger - Great Belt","Ger - Great Belt"
8,"Ger - Kiel Bay","Ger - Kiel Bay"
24,"Lat - Eastern Gotland Basin","Lat - Eastern Gotland Basin"
27,"Lat - Gulf of Riga","Lat - Gulf of Riga"
23,"Lit - Eastern Gotland Basin","Lit - Eastern Gotland Basin"
17,"Pol - Bornholm Basin","Pol - Bornholm Basin"
21,"Pol - Eastern Gotland Basin","Pol - Eastern Gotland Basin"
18,"Pol - Gdansk Basin","Pol - Gdansk Basin"
22,"Rus - Eastern Gotland Basin","Rus - Eastern Gotland Basin"
19,"Rus - Gdansk Basin","Rus - Gdansk Basin"
33,"Rus - Gulf of Finland","Rus - Gulf of Finland"
35,"Swe - Aland Sea","Swe - Aland Sea"
11,"Swe - Arkona Basin","Swe - Arkona Basin"
14,"Swe - Bornholm Basin","Swe - Bornholm Basin"
41,"Swe - Bothnian Bay","Swe - Bothnian Bay"
37,"Swe - Bothnian Sea","Swe - Bothnian Sea"
20,"Swe - Eastern Gotland Basin","Swe - Eastern Gotland Basin"
1,"Swe - Kattegat","Swe - Kattegat"
29,"Swe - Northern Baltic Proper","Swe - Northern Baltic Proper"
39,"Swe - The Quark","Swe - The Quark"
5,"Swe - The Sound","Swe - The Sound"
26,"Swe - Western Gotland Basin","Swe - Western Gotland Basin"
